127.0.0.1, 2013-01-31 23:16:53, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2013-01-31 23:16:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2013-01-31 23:16:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2013-01-31 23:16:54, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-01-31 23:16:57, GET, /admin/default/site, HTTP/1.1, 303, 0.223000
127.0.0.1, 2013-01-31 23:16:57, GET, /admin/default/index, HTTP/1.1, 200, 0.079000
127.0.0.1, 2013-01-31 23:16:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-31 23:16:59, POST, /admin/default/index, HTTP/1.1, 303, 0.170000
127.0.0.1, 2013-01-31 23:16:59, GET, /admin/default/site, HTTP/1.1, 200, 0.125000
127.0.0.1, 2013-01-31 23:16:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-31 23:16:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.483000
127.0.0.1, 2013-01-31 23:17:00, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.521000
127.0.0.1, 2013-01-31 23:17:25, POST, /admin/default/site, HTTP/1.1, 303, 0.736000
127.0.0.1, 2013-01-31 23:17:25, GET, /admin/default/site, HTTP/1.1, 200, 0.174000
127.0.0.1, 2013-01-31 23:17:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-31 23:17:26, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.596000
127.0.0.1, 2013-01-31 23:17:42, GET, /admin/default/remove_compiled_app/AfspraakAssistent, HTTP/1.1, 303, 0.115000
127.0.0.1, 2013-01-31 23:17:42, GET, /admin/default/site, HTTP/1.1, 200, 0.127000
127.0.0.1, 2013-01-31 23:17:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-31 23:17:43, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.445000
127.0.0.1, 2013-01-31 23:17:44, GET, /admin/default/design/AfspraakAssistent, HTTP/1.1, 200, 0.475000
127.0.0.1, 2013-01-31 23:17:45, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-31 23:17:45, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:45, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:45, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:45, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-31 23:17:47, GET, /AfspraakAssistent/default/index, HTTP/1.1, 200, 0.214000
127.0.0.1, 2013-01-31 23:17:47, GET, /AfspraakAssistent/assets/css/bootstrap-responsive.css, HTTP/1.1, 404, 0.071000
127.0.0.1, 2013-01-31 23:17:47, GET, /AfspraakAssistent/assets/ico/favicon.png, HTTP/1.1, 404, 0.073000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/default/mijnafspraakassistent, HTTP/1.1, 303, 0.080000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/default/user/login, HTTP/1.1, 200, 0.126000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/css/datepicker.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-01-31 23:17:49, GET, /AfspraakAssistent/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
